epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4152.33,1.05793,0.85901,1.12215,0.95399,0.95473,0.98935,0.75906,0.92896,0.54432,0.83506,0.000152498,0.000152498,0.000152498
63,4219.03,1.07003,0.84833,1.11981,0.96954,0.98008,0.99292,0.79456,0.84972,0.48107,0.78966,0.000148687,0.000148687,0.000148687
64,4286.95,1.03714,0.82878,1.1197,0.93993,0.93258,0.98154,0.76066,0.93925,0.62239,0.84216,0.000144875,0.000144875,0.000144875
65,4355.89,1.00123,0.8214,1.09989,0.97478,0.98093,0.99259,0.78012,0.87517,0.45729,0.81524,0.000141064,0.000141064,0.000141064
66,4423.94,0.99036,0.77548,1.08645,0.99259,0.99768,0.99492,0.81794,0.76948,0.42784,0.76848,0.000137252,0.000137252,0.000137252
67,4492.17,0.98428,0.76942,1.08475,0.98618,0.99538,0.99447,0.80952,0.77671,0.41177,0.76845,0.000133441,0.000133441,0.000133441
68,4560.79,0.94893,0.77063,1.08223,0.97835,0.98102,0.99447,0.80488,0.7872,0.42771,0.7786,0.000129629,0.000129629,0.000129629
69,4629.11,0.98022,0.72497,1.07035,0.98097,0.99384,0.99395,0.79438,0.8462,0.44203,0.79198,0.000125818,0.000125818,0.000125818
70,4697.56,0.96715,0.80387,1.08526,0.97252,0.97857,0.99393,0.80785,0.79887,0.45366,0.77151,0.000122007,0.000122007,0.000122007
71,4765.71,0.92805,0.76166,1.06414,0.96911,0.9806,0.99479,0.83525,0.75098,0.43294,0.75383,0.000118195,0.000118195,0.000118195
72,4833.71,0.92761,0.75199,1.06923,0.98633,0.99706,0.99468,0.82761,0.7341,0.38794,0.7369,0.000114384,0.000114384,0.000114384
73,4901.33,0.92821,0.72686,1.05839,0.98329,0.99289,0.99461,0.80636,0.82848,0.41769,0.7815,0.000110572,0.000110572,0.000110572
74,4969.59,0.89095,0.69434,1.05831,0.97958,0.99127,0.99408,0.81214,0.80255,0.41109,0.7607,0.000106761,0.000106761,0.000106761
75,5038.15,0.92927,0.72819,1.05584,0.96967,0.96966,0.99272,0.82171,0.74139,0.42793,0.73472,0.000102949,0.000102949,0.000102949
76,5106.23,0.90683,0.73592,1.06253,0.99024,0.9969,0.995,0.82817,0.74321,0.39233,0.72828,9.91375e-05,9.91375e-05,9.91375e-05
77,5174.22,0.87038,0.70148,1.04047,0.97589,0.97221,0.98755,0.82098,0.74011,0.43428,0.73415,9.5326e-05,9.5326e-05,9.5326e-05
78,5242.58,0.89165,0.7211,1.04557,0.97959,0.98161,0.99428,0.83622,0.70861,0.40686,0.71455,9.15145e-05,9.15145e-05,9.15145e-05
79,5311.07,0.86703,0.70136,1.04482,0.99242,0.99706,0.995,0.84358,0.68329,0.37727,0.72018,8.7703e-05,8.7703e-05,8.7703e-05
80,5379.25,0.84338,0.67928,1.02673,0.98916,0.99308,0.99494,0.84408,0.67873,0.36671,0.70975,8.38915e-05,8.38915e-05,8.38915e-05
81,5448.55,0.82718,0.66488,1.01985,0.9948,0.99848,0.995,0.86626,0.62059,0.34774,0.69426,8.008e-05,8.008e-05,8.008e-05
82,5517.52,0.82798,0.66593,1.02006,0.98857,0.99864,0.995,0.85508,0.66727,0.36464,0.70034,7.62685e-05,7.62685e-05,7.62685e-05
83,5585.92,0.79498,0.6532,1.0207,0.99443,0.9996,0.995,0.84828,0.67814,0.35326,0.69876,7.2457e-05,7.2457e-05,7.2457e-05
84,5654.27,0.81783,0.67526,1.01677,0.99619,0.99872,0.995,0.86915,0.62158,0.33877,0.68369,6.86455e-05,6.86455e-05,6.86455e-05
85,5722.92,0.79824,0.63143,1.01613,0.99519,0.9958,0.995,0.84811,0.68589,0.35603,0.70367,6.4834e-05,6.4834e-05,6.4834e-05
86,5791.34,0.7859,0.64614,1.00131,0.99235,0.99485,0.99486,0.84669,0.67659,0.35418,0.6976,6.10225e-05,6.10225e-05,6.10225e-05
87,5859.89,0.79548,0.66938,1.02178,0.992,0.99824,0.99486,0.84445,0.68642,0.35012,0.69277,5.7211e-05,5.7211e-05,5.7211e-05
88,5927.42,0.78221,0.62413,1.01142,0.99101,0.99889,0.995,0.86952,0.62214,0.33965,0.67423,5.33995e-05,5.33995e-05,5.33995e-05
